Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7889911,"WIRING HARNESS PART NO - 6240815840 , WIRING HARNESS PART NO -6216849910",WIRING HARNESS PART NO -6216849910,"Combination Harness (Defence), Personal Fall Arrest System- Full Body Harness Conforming to IS 3521 (Part 1), Cable Trunking and Wiring Duct System For Electrical Installations Marked To IS 14927 (Part 2), Shade Nets for Agriculture and Horticulture as per IS 16008 (Part 1) (Made from Tape Yarns), Aluminium Conductors For Overhead Transmission Purposes (V2) Conforming To IS 398, Shade Nets for Agriculture and Horticulture as per IS 16008 (Part 2) (Shade Nets Made from Mono Filament Yarns), Plasticized PVC Tapes with Non-Thermosetting Adhesive for electrical purpose (V2) ISI marked to IS 7809 (Part 3 Sec1), Swing Check Type Reflux Valves for Water Works Purposes (Single Door Pattern) (V2) as per IS 5312 (Part1), IP PSTN Conference Phone",Crawler Bulldozer (V3),Cable Trunking and Wiring Duct System For Electrical Installations Marked To IS 14927 (Part 2),Weak — review,51%
GEM/2026/B/7888697,"Aluminium Conductors For Overhead Transmission Purposes (V2) Conforming To IS 398 , AAA Conductor (148 sq mm)","CNDCTR ELEC;AAA WOLF,148MM2,AL ALY","Electrode Holder as per IS 2641, Graphite Electrodes for Electric Arc Furnace, WELDING ELECTRODE - Air arc gouging electrode ( BEML) -as per C4117 BEML Welding Electrode, Electric Kettles and Jugs for Household and Similar Use as per IS 367 (V2), Hard Facing Welding Electrode, Low Hydrogen Electrodes, Welding Electrode - Covered Arc Welding Electrode - Rutile Type (BEML), Electrolyte Analyzer Reagents for Human Samples, Electric Trap for insects (UV based Electric Zappers), Electric Two Wheeler - Motorcycle, Scooter and Moped",Aluminium Conductors For Overhead Transmission Purposes (V2) Conforming To IS 398 PVC Insulated Unsheathed Cable with Flexible Conductor ISI Marked To IS 694 XLPE Cable for Working Voltage up to and Including 1.1 KV Marked To IS 7098 (Part 1),Aluminium Conductors For Overhead Transmission Purposes (V2) Conforming To IS 398,Likely match,94%
GEM/2026/B/7888633,Digital Droplet PCR,Digital Droplet PCR,"PCR Tubes, Digital Multimeter, Real Time PCR Machine (V2), Controlled Percolating Hose For Fire Fighting As per IS 8423 Latest Amendment, PCR Mini Cooler, true rms clamp meter, Oligonucleotides PCR Primer, Automated Real Time Micro PCR Machine, PCR grade water, digital conductivity meter",Automated Real Time Micro PCR Machine,Real Time PCR Kits (V2),Weak — review,59%
GEM/2026/B/7911919,ALH-GSE-SUR-RAD-GCU - GROUND CHILLING (COOLING) UNIT,ALH-GSE-SUR-RAD-GCU - GROUND CHILLING (COOLING) UNIT,"Liquid Chilling Package Units Conforming to IS 16590, Bulk Milk Cooler Unit, High Frequency Radio Surgery Unit, Dental RadioVisioGraphy (RVG) Unit (V2), Coolant Hose, Panel Air Conditioner, Mobile Digital Radiography System (V2), Integrated Electrosurgical Unit and vessel sealer, Portable X - Ray Machine (V2), Static Single Frequency Repeater Station (UP State)",Liquid Chilling Package Units Conforming to IS 16590,Liquid Chilling Package Units Conforming to IS 16590,Weak — review,59%
GEM/2026/B/7911743,"BOROSILICATE 3.3 GLASS AS PER DIN ISO 3585(BS 2598 PART 1) REDUCER, SIZE: 250 NB X 200 NB, MALE X FEM , BOROSILICATE 3.3 GLASS AS PER DIN ISO 3585(BS 2598 PART 1) REDUCER, SIZE: 100 NB X 80 NB, MALE X FEM , Borosilicate 3.3 Glass AS PER DIN ISO 3585(BS 2598 PART 1) Spacer, SIZE: 200NB X 200NB, MALE X FEMALE",Borosilicate Glass Reducer,"Glass Fuse, Environmental Chamber, Glass Beads, Glass Coasters, Modular Table Meeting Table Centre Table (V2), magnifying glass, Serological Pipettes and Graduated Pipettes as per IS 4364, Glass Fiber Fabric Glass Cloth (V2), Safety Glass For Architectural, Building And General Uses (V2) ISI Marked to IS 2553 (Part 1), Safety Glass as per IS 2553",Connector Glass Multipurpose or General Test Tubes as per IS 2618 Environmental Chamber,Laboratory Glassware - Burettes (V2) as per IS 1997,Weak — review,53%
GEM/2026/B/7904676,FLAME DETECTION ALARM & HYDROGEN GAS LINE CUT-OFF SYSTEM,FLAME DETECTION ALARM & HYDROGEN GAS LINE CUT-OFF SYSTEM,Category not available on GeM for the text string uploaded by the buyer,"Hydrogen (H2) Detector (V1) Leak Detection Compound, Oxygen Systems (Defence) SF6 Gas Leakage Detector (GIS)",PLC based fire alarm system,Weak — review,53%
GEM/2026/B/7911758,AIRCONDITIONER WITH INSTALLATION,AIRCONDITIONER WITH INSTALLATION,"Stud with Nuts, Revolving Chair (V5), Walker with Crutches, Basketball backstop, Suitcase with Trolley (CRPF), Entry and Mid Level Desktop Computer, Conference Speakerphone with Bluetooth, High End Desktop Computer, Interactive Panels with CPU, Modular Table Meeting Table Centre Table (V2)","Split Air Conditioner Including Green AC, Wall Mount Type (V2)",AC Duct Mountable Air Decontamination System,Weak — review,52%
GEM/2026/B/7909458,ATOMISED ALUMINIUM POWDER,ATOMISED ALUMINIUM POWDER,"Atomized Aluminium Powder (V2), Garden Bench, ALUMINIUM METAL FINE POWDER, Aluminium Phosphide Powder Formulation Conforming(V2) to IS 15219, magnetic stirrers, Aluminium nitrate, Led post top lantern, Aluminium Oxide, Classroom Stools, Calamine Powder",Atomized Aluminium Powder (V2),Atomized Aluminium Powder (V2),Possible match,92%
GEM/2026/B/7907895,"LT Cable 4 Core Aluminium Conductor 1100V AC,","LT Cable 4 Core Aluminium Conductor 1100V AC,","PVC Insulated Aluminium Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor ISI Marked To IS 694, XLPE Cable for Working Voltage up to and Including 1.1 KV Marked To IS 7098 (Part 1), PVC Single Core and Multi Core Circular Sheathed Aluminium Cable with Rigid Conductor (V2) as per IS 694, PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694, PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Flexible Conductor (V2) ISI Marked To IS 694, PVC Insulated (Heavy Duty) Electric Cables Marked To IS 1554 (Part 1) (V2), Flat Cable, Aluminium Conductor with PVC Insulation and Sheathed ISI Marked To IS 694, Flat Cable, Copper Conductor with PVC Insulation and Sheathed ISI Marked To IS 694",XLPE Cable for Working Voltage up to and Including 1.1 KV Marked To IS 7098 (Part 1),PVC Single Core and Multi Core Circular Sheathed Aluminium Cable with Rigid Conductor (V2) as per IS 694,Weak — review,65%
GEM/2026/B/7904653,PIPE ASSY 675-04-sb112,PIPE ASSY 675-04-sb112,"RELAY FRAME ASSY.,MCC FRAME ASSY., D.P.LATCH FRAME ASSY (203BS43) (BHEL), Unplsticized PVC Pipes for Water Supply conforming to IS 4985, Pipe Clips, Modular Metal Drawer File Cabinet Pedestal, Pipe Cutter, UPVC Pipe Fittings For Use With UPVC Pipes in the Suction and Delivery Lines of Agricultural Pumps conforming to IS 13593, Steel Pipes for Water and Sewage as per IS 3589, Cross - Over Pipe for Line Pipe Casing Pipe (Petroleum Industry), Copper Nickel Pipe (V2), Threaded Pipe Adapter",Bag Kit Universal (Defence),ASSORTED PIPES,Weak — review,58%
GEM/2026/B/7903675,Rotary File Storage Rack (Roundfile),Rotary File Storage Rack (Roundfile),"File Storage Box (V2), Wooden Shelf Case Rack Credenza Modular Storage (V2), Endodontic Files (V2), Enterprise Storage Area Network (SAN) Storage, Printed circuit board storage rack, Heavy Duty Storage Racks, Mobile Storage Compactors, KITCHEN STORAGE RACKS (various type), Network Attached Storage (V2), PCR Tube Storage Racks",Wooden Shelf Case Rack Credenza Modular Storage (V2) Heavy Duty Storage Racks File Storage Box (V2),Heavy duty longspan storage System,Weak — review,51%
GEM/2026/B/7820658,"CEILING FAN WITH OUT REG , CEILING FAN WITH REG",CEILING FAN WITH REG,"Electric Ceiling Fan (V4) ISI Marked to IS 374, Non Modular Piano Type Domestic Fan Regulator Conforming To IS 11037 (V2), Electric Table Type Fan and Regulator (V2) Conforming To IS 555, Bathroom Water Shower (V2), Modular Piano Type Domestic Fan Regulator Conforming To IS 11037, Direct Evaporative Air Cooler (V2) ISI Marked To IS 3315, Electric Pedestal Type Fan and Regulator Conforming To IS 1169, Air Circulator Type Electric Fan and Regulator (V2) Conforming To IS 2997, Propeller Type AC Ventilating Fans (Exhaust Fan) (V3) Conforming To IS 2312, Capacitors for Electric Fan Motors as per IS 1709 (V2)",Electric Ceiling Fan (V4) ISI Marked to IS 374,Fan Bearing,Weak — review,46%
GEM/2026/B/7784262,"Laptop with Snapdragon Qualcom X Plus Chip, 10 Core CPU, 16 GB RAM, 256 GB SSD, 13"" LCD Touch Screen , Laptop with M4 Chip, 10 Core CPU, 8 Core GPU, 8 GB RAM, 256 GB Storage, 13"" display MAC OS, 1 year w","Laptop with M4 Chip, 10 Core CPU, 8 Core GPU, 8GB RAM, 256 GB Storage, 13"" display MAC OS, 1 year warranty",Pressure Calibrator,High End Laptop - Notebook,Entry and Mid Level Laptop - Notebook,Weak — review,56%
GEM/2026/B/7900124,Procurement and Installation of INS Hansa Administrative Office Display Board,Procurement and Installation of INS Hansa Administrative Office Display Board,Category not available on GeM for the text string uploaded by the buyer,Wooden Display cabinet with Glass Doors Modular Table Meeting Table Centre Table (V2),Soldering and Desoldering Station with digital display,Weak — review,44%
GEM/2026/B/7911899,"Supply, Delivery, Installation, Commissioning of Multi Tier Heavy Duty Storage Racks (Omega Profile)","Supply, Delivery, Installation and Commissioning of Multi Tier Heavy Duty Storage Racks (Omega Profile) with Catwalk, Stairways and all other components vertically over the existing already installed Omega profile Industrial Racks at Patiala, Punjab",Category not available on GeM for the text string uploaded by the buyer,Heavy Duty Storage Racks,Heavy Duty Storage Racks,Likely match,80%
GEM/2026/B/7881193,ARMOURER TOOL TROLLEY,Armourer Tool Trolley,"CPU Trolley, Dressing Trolley, WRENCHES and DRIVERS TOOL SET (ONGC), Inverter Battery Trolley, Platform Trolley (V3), Neonatal Resuscitation Trolley, Endoscopy transport trolley, Agricultural Trailer Complying to AIS 112, Trolley, Medicine conforming to IS 7083, TROLLEY, INSTRUMENT, PLAIN AND CURVED conforming to IS 5631",Platform Trolley trolleys or accessories WRENCHES and DRIVERS TOOL SET (ONGC),Dressing Trolley,Weak — review,58%
GEM/2026/B/7912009,PAPER BUBBLE WRAP,PAPER BUBBLE WRAP,"Bubble CPAP, Air bubble film, Test Tube Rack, Heat Elbow Wrap, Plotter Paper Roll (V2), Wrap Block (Textile), Foot Bubble Bath For Panchakarma, Paper Box (V2), Coir Brushes, Horse Leg Wraps",Paper Box (V2) Coir Brushes Air bubble film,Wrap Block (Textile),Weak — review,61%
GEM/2026/B/7874089,"ENERGY EFFICICENT TEFC INDUCTION INVERTER DUTY TYPE BRAKE MOTOR RATING 9.3KW , ENERGY EFFICICENT TEFC INDUCTION INVERTER DUTY TYPE BRAKE MOTOR RATING 5.5KW , SPARE RECTIFIER FOR THE BRAKE UNITS",SPARE RECTIFIER FOR THE BRAKE UNITS,Spares For Coal Mills Of Thermal Power Stations (GSECL),Brake Rectifier,Brake Rectifier,Weak — review,51%
GEM/2026/B/7872811,"Siemens Sinamics PM240-2, Model No: 6SL3210-1PE34-8CL0 , Siemens Sinamics CU250S-2PN, Model No: 6sl3246-0BA22- 1FA0","Siemens Sinamics CU250S-2PN,Model No: 6sl3246-0BA22- 1FA0","Unplsticized PVC Pipes for Water Supply conforming to IS 4985, Mass Flow Controllers, Line Interactive UPS with AVR (V2), PVC Insulated Copper Cable Single Core and Multi Core Circular Sheathed with Rigid Conductor (V2) ISI Marked To IS 694, Reciprocating Air Compressors - Electric Motor Driven, UPVC Pipe Fittings For Use With UPVC Pipes in the Suction and Delivery Lines of Agricultural Pumps conforming to IS 13593",Variable Voltage Variable Frequency Drive,Electrical Plugs (V2) ISI Marked to IS 1293,Weak — review,42%
GEM/2026/B/7885110,Gas Chromatography with FID,GAS CHROMATOGRAPHY WITH FID max temperature range 45 degree celsius,Category not available on GeM for the text string uploaded by the buyer,Gas Chromatography Syringe Gas Chromatography Mass Spectrometry (GC - MS) Gas Chromatography,Gas Chromatography,Likely match,94%
GEM/2026/B/7872890,"BOGIE DRIVE BEVEL GEAR BOX , DOOR DRIVE GEAR BOX",DOOR DRIVE GEAR BOX,"Helical Gear Box (V2), Shaping Machine, Gear Lubricants for enclosed Industrial Gear Drives (V2) Conforming to IS 8406, Wheel Worm, Sports Thigh Pads, Tractor Operated Rotavator (V2)",Helical Gear Box (V2),Helical Gear Box (V2),Weak — review,53%
GEM/2026/B/7872739,"DRUM REELABLE CABLE , FIREPROOF CABLE PROTECTION CONDUIT SLEEVES , FIREPROOF CABLE PROTECTION CONDUIT SLEEVES ID 16MM , SILVYN HIPROSIL TAPE SELF ADHESIVE SILICONE TAPE",SILVYN HIPROSIL TAPE SELF ADHESIVE SILICONE TAPE,"Nylon Tape, Self-amalgamating tape, Pressure Sensitive Adhesive Tapes with Plastic Base (V4) Conforming to IS 13262, Permeable Nonwoven Surgical Adhesive Tape Conforming to IS 16948, Self Fusing Silicon Rubber Tape, Elastic Surgical Adhesive Tapes for Medical Use Conforming to IS 16470, Polymide Tapes, Plasticized PVC Tapes with Non- Thermosetting Adhesive for electrical purpose (V2) ISI marked to IS 7809 (Part 3 Sec1), Ceramic Fiber Tape",Self Fusing Silicon Rubber Tape,"Flat Cable, Copper Conductor with PVC Insulation and Sheathed ISI Marked To IS 694",Weak — review,44%
GEM/2026/B/7890662,"Lot-1 Submersible Pump Head- 80Mtrs. and Discharge- 1800LPM , Lot-2 Submersible Pump Head- 60Mtrs. and Discharge- 1200LPM , Lot-3 Submersible Pump Head- 150Mtrs. and Discharge- 1500LPM , Lot-4 Submersible Pump Head- 100Mtrs. and Discharge- 1000LPM , Lot-5 Submersible Pump Head- 200Mtrs. and Discharge- 1000LPM",Lot-5 Submersible Pump Head- 200Mtrs. and Discharge- 1000LPM,Submersible Pumpsets (Three Phase) Conforming To IS 8034 (V2),Submersible Pumpsets (Three Phase) Conforming To IS 8034 (V2),Dosing pump,Weak — review,42%
GEM/2026/B/7742102,"Tata 1923 BS VI Chassis, Diesel Engine & Power Steering , Design cum body Building Fabrication, Material Supply, testing, exterior interior work, accessories, , RTO clearance (Vehicle Registration, Insurance, Road tax, PUC) and other documentations , Schedule of Equipment as per attached Appendix“ A” , Inspection & testing of the Fire Tender from Third Party Inspection Agency (TPIA)",Inspection & testing of the Fire Tender from Third Party Inspection Agency (TPIA),Category not available on GeM for the text string uploaded by the buyer,Small Foam Tender for Fire Brigade as per IS 10460 Water Tender Type B for Fire Brigade Use conforming to IS 950,Vehicle Servicing and Repairing Kit (Gujarat Govt),Weak — review,48%
GEM/2026/B/7905365,Tilt sensor with logger for oceanographic Applications,Tilt Sensor with logger for oceanographic Applications,"Dharapathy With Tiltable Steel Table (Ayurvedic Treatment Table) For Panchakarma, Root Analysis System, Auditorium Chair (V2), Pneumatic Tyres for Commercial Vehicles - Diagonal and Radial Ply Marked to IS 15636, Snorkel with Mask for coastal Application",Dharapathy With Tiltable Steel Table (Ayurvedic Treatment Table) For Panchakarma,Wind Speed & Direction Sensor,Weak — review,44%
GEM/2026/B/7890166,"245kV, 2500A, 50kA Circuit Breaker (3 Phase)","245kV, 2500A, 50kA Circuit Breaker (3 Phase)","Moulded Case Circuit Breakers (MCCB) Conforming To IS IEC 60947 (Part 2), Motor Protection Circuit Breaker (MPCB), Circuit Breakers for DC Operation, Residual Current Operated Circuit Breakers (RCCB) without Integral Overcurrent Protection ISI Marked To IS 12640 (Part 1), Distribution Transformer, 3 Phase, 11 kV, >200 KVA upto and Including 2500 KVA ISI Marked To IS 1180 (Part 1), Shaping Machine, Aerial Bunched Cable For Working Voltage Upto and Including 1.1 kV Marked To IS 14255, Miniature Circuit Breakers (MCB) for AC Operation Marked To IS IEC 60898 (Part 1), Residual Current Device (RCD) or Earth- leakage circuit breaker (ELCB) Tester",Circuit Breakers for DC Operation Motor Protection Circuit Breaker (MPCB) Residual Current Operated Circuit Breakers (RCCB) without Integral Overcurrent Protection ISI Marked To IS 12640 (Part 1),245 kV SF6 Circuit Breaker Conforming To IS/IEC 62271 (Part 100),Weak — review,55%
GEM/2026/B/7911773,Water Jet Cutting Machine,Water Jet Cutting Machine,"Miniature Air jet Spinning Machine, Shredding Machine Paper Shredder, Laser cutting machine, Water Meters (Domestic Type) (V1) as per IS 779, GASKET CUTTING MACHINE, Truck Mounted Suction Cum Jetting Machine, Air Jet Erosion Testing Machine, Reverse Osmosis based Water Treatment System above 50 LPH Capacity (V2), CNC Plasma Cutting Machine, Dough Cutting machines",Laser cutting machine,GASKET CUTTING MACHINE,Weak — review,65%
GEM/2026/B/7905929,FD WSS MOB RO PLANT 1000 LPH RO PLANT TROLLEY MTD,"SUPPLY, INSTALLATION, TESTING & COMMISSIONING OF MOBILE FIELD RO PLANT (1000 LPH) WITH TROLLEY MTD",Category not available on GeM for the text string uploaded by the buyer,RO Plant with Genset and Trolley,RO Plant with Genset and Trolley,Weak — review,68%
GEM/2026/B/7814541,"Supply, Installation, Testing & Commissioning of 01 No Linear Position Sensor for Hydraulic Cylinder","Supply Installation Testing & Commissioning of 01 No Linear Position sensor for measurement of movement of Hydraulic Cylinder, Make- Temposonics, Model No. RFVM09100M01D601A100 (upgraded & equivalent to RFM09100MD601A01)",Category not available on GeM for the text string uploaded by the buyer,Ultrasonic Sensor,Pressure Sensor,Weak — review,50%
GEM/2026/B/7899838,Purchase of Gear Pump model No 2P 3070 Make Dynamatic Technologies Limited,Gear Pump model No 2P 3070 Make Dynamatic Technologies Limited,Category not available on GeM for the text string uploaded by the buyer,Descaling Pump Hydraulic Gear Pump,Hydraulic Gear Pump,Weak — review,64%
GEM/2026/B/7825224,Laying of Synthetic Surface Volleyball Court with Allied Accessories,Laying of Synthetic Surface Volleyball Court with Allied Accessories,Category not available on GeM for the text string uploaded by the buyer,Volleyball Pole (V2),Volleyball Pole (V2),Weak — review,60%
GEM/2026/B/7847464,"Supply of Washer , Supply of Tumble Dryer , Installation of Washer , Installation of Tumble Dryer",Installation of Tumble Dryer,"Industrial Purpose Laundry Machines, Hair Dryer Electric Dryer, Electrochemical Workstations, Washing Machine - Domestic Purpose",Industrial Purpose Laundry Machines Washing Machine - Domestic Purpose,"Hardwares (Hex Bolt & Spring Channel Nut, Anchor Fastener, Washer, Spring Washer) - BHEL",Weak — review,44%
GEM/2026/B/7912048,Flowmeters,FLOWMETER,"Electromagnetic flowmeter, BPC Flowmeter With Humidifier Bottle, Digital Ultrasonic Non-Contact Flowmeter with Totalizer, Vortex Flow meter, Mass Flowmeter for Verification of CNG Dispenser for Vehicles as per Legal Metrology Division (Department of Consumer Affairs)",Oxygen Flow Meter Turbine Flow Meter,Vortex Flow meter,Possible match,79%
